Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,PetID,PhotoAmt,AdoptionSpeed
2,3,299,0,1,1,7,0,1,1,2,2,2,1,1,100,0,86e1089a3,1.0,2
2,1,265,0,1,1,2,0,2,2,3,3,3,1,1,0,0,6296e909a,2.0,0
1,1,307,0,1,2,7,0,2,2,1,1,2,1,1,0,0,3422e4906,7.0,3
1,4,307,0,2,1,2,0,2,1,1,1,2,1,1,150,0,5842f1ff5,8.0,2
1,1,307,0,1,1,0,0,2,1,2,2,2,1,1,0,0,850a43f90,3.0,2
2,3,266,0,2,5,6,0,2,1,2,2,2,1,1,0,0,d24c30b4b,2.0,2
2,12,264,264,1,1,0,0,2,3,2,2,3,1,1,300,0,1caa6fcdb,3.0,1
1,0,307,0,2,1,2,7,2,1,2,2,2,1,6,0,0,97aa9eeac,9.0,3
2,2,265,0,2,6,0,0,2,2,2,2,2,1,1,0,0,c06d167ca,6.0,1
2,12,265,0,2,1,7,0,2,2,3,3,3,1,1,0,0,7a0942d61,2.0,4
1,2,307,0,1,1,2,7,2,1,2,1,2,1,1,0,0,8b693ca84,7.0,1
2,3,264,0,2,1,2,5,3,3,1,1,2,1,1,50,0,8e76c8e39,2.0,1
1,2,307,0,1,2,5,6,2,3,1,1,2,1,1,0,0,aaedd873d,1.0,2
2,2,265,0,3,1,6,7,1,2,2,2,3,1,7,0,0,4a9793dfb,1.0,1
1,3,307,0,2,2,5,7,2,2,3,3,3,1,1,0,0,c02be41e6,2.0,2
1,78,218,205,1,1,7,0,2,2,3,3,3,1,1,0,0,1fd342e17,2.0,4
2,6,266,0,2,2,0,0,1,1,1,1,1,1,1,0,0,b38a74866,1.0,3
1,8,307,307,2,2,0,0,2,1,2,1,1,1,1,10,0,f9d07d5fa,2.0,4
1,2,307,0,2,1,0,0,2,1,2,1,2,1,1,0,0,1c92ce464,8.0,2
2,1,266,0,3,1,2,7,1,1,2,2,2,1,5,0,0,b10e7605a,1.0,4
1,12,307,0,2,2,7,0,2,2,2,1,1,1,1,0,0,6436c1a59,7.0,2
1,3,307,0,2,6,0,0,2,1,2,1,2,1,3,0,0,234a5a54c,5.0,4
2,0,114,0,3,3,6,7,2,2,2,2,3,1,10,0,0,1bc0f89d8,0.0,4
1,10,307,117,2,1,2,7,2,2,1,1,1,1,1,0,0,1bf24d8be,0.0,4
2,3,266,0,1,2,7,0,1,1,2,1,2,1,1,0,0,988988d5b,19.0,1
2,36,285,251,1,3,0,0,3,2,1,1,1,1,1,0,0,cf7d3eec0,3.0,2
2,2,285,265,1,3,0,0,2,2,2,2,2,1,1,0,0,85fc3c314,11.0,1
2,1,266,0,2,1,0,0,2,1,2,2,2,1,1,0,0,efbf1703a,2.0,2
1,14,189,0,1,1,2,0,3,1,1,1,2,1,1,1,0,7843a9dca,0.0,3
2,1,266,0,2,2,7,0,1,1,2,1,2,1,1,0,0,d341fbfd6,1.0,2
1,4,205,218,3,2,7,0,1,2,1,1,1,1,2,0,0,1a76190c5,5.0,3
2,1,266,0,1,1,0,0,1,1,2,2,2,1,1,0,0,edb920079,1.0,1
1,24,307,0,1,5,7,0,2,1,1,1,2,1,5,0,0,543130f60,1.0,4
2,4,266,0,2,1,6,7,1,1,2,2,2,1,2,0,0,9415bc79e,7.0,3
2,3,266,0,2,1,7,0,1,1,1,2,2,1,1,1,0,4c6fe4100,5.0,4
2,12,264,0,2,6,0,0,2,3,2,2,2,1,1,0,0,0737e4f11,5.0,1
2,24,265,292,2,1,4,0,2,2,1,1,3,1,3,0,0,61fa73996,2.0,4
2,2,265,0,2,2,0,0,1,2,2,2,2,1,1,0,0,eabb13cea,3.0,1
1,12,307,0,1,1,0,0,2,1,2,2,2,1,1,0,0,deff069a2,4.0,1
1,12,307,0,1,5,0,0,2,2,1,1,2,1,1,0,0,4e3640544,1.0,3
2,2,265,266,2,7,0,0,2,2,2,1,2,1,1,0,0,ace21b6b1,13.0,3
2,1,266,0,3,1,2,7,1,1,2,2,2,1,3,0,0,8ee223a17,1.0,2
2,24,292,285,2,7,0,0,2,3,3,3,3,2,6,0,0,9a38d4275,1.0,1
1,5,128,307,1,7,0,0,2,1,1,1,1,1,1,0,0,671ffc570,6.0,3
1,12,307,0,1,2,7,0,2,2,2,1,1,1,1,0,0,aece6e7bf,2.0,4
1,4,307,0,1,1,7,0,2,1,2,2,2,1,2,0,0,c1e816568,11.0,4
2,5,265,0,1,4,7,0,1,3,1,1,2,1,1,0,0,22f6c0ac6,13.0,3
1,72,307,0,2,2,7,0,2,1,1,1,1,1,1,0,0,ea159d8da,3.0,4
1,1,307,0,3,1,2,0,2,1,3,3,2,1,9,0,0,af1035c81,3.0,3
2,60,264,0,1,1,2,7,3,3,1,1,1,1,1,0,0,0d25f084f,3.0,2
1,1,307,141,2,1,0,0,2,2,2,1,1,1,2,0,0,6fecc5cf7,13.0,3
2,6,266,0,1,1,2,7,2,1,1,1,1,1,1,100,0,7fe8ef73d,1.0,4
1,2,307,0,1,2,7,0,2,1,1,1,2,1,1,0,0,015c75c9e,3.0,3
1,12,307,307,2,2,0,0,2,2,1,1,1,1,2,0,0,9609a0b86,5.0,4
1,3,307,0,2,2,7,0,1,1,3,3,3,2,1,0,0,c740abfe1,0.0,3
2,3,265,0,3,4,6,7,1,2,1,1,2,1,2,0,0,f6551137d,15.0,2
2,5,266,0,1,1,7,0,2,1,2,1,2,1,1,30,0,8c131db77,4.0,4
1,24,307,0,2,5,0,0,2,2,1,1,1,1,1,0,0,d765ae877,2.0,2
1,4,307,0,1,5,0,0,3,2,2,2,2,1,1,0,0,8ce183889,3.0,1
2,2,243,0,3,1,6,7,1,1,3,3,3,1,6,0,0,9c0ddccc8,1.0,4
2,1,266,0,2,4,0,0,2,1,2,2,2,1,1,0,0,f9df8656a,5.0,1
1,9,307,0,1,2,5,0,2,1,1,1,3,1,1,0,0,f0ef9c777,2.0,4
1,60,307,0,2,2,5,0,2,1,2,2,1,1,1,0,0,3181e5424,2.0,4
1,2,307,0,1,1,2,0,2,2,2,2,2,1,1,0,0,9883a048e,5.0,2
1,2,213,307,3,1,3,7,2,3,1,1,2,1,7,0,0,b0dec8779,21.0,3
1,48,205,0,2,2,5,0,2,2,1,1,2,1,1,0,0,e8d0907ae,5.0,1
2,3,266,0,2,2,0,0,2,1,2,2,2,1,1,0,0,e540c1ba5,1.0,4
2,4,266,0,1,1,3,0,1,1,2,1,2,1,2,0,0,4a4db4d32,1.0,2
2,9,266,0,2,2,7,0,2,1,2,2,2,1,1,0,0,98a98311c,1.0,2
1,62,307,0,1,1,3,6,2,2,1,1,1,1,1,0,0,ef14861df,3.0,4
1,36,307,0,2,1,2,0,2,1,1,1,1,1,5,0,0,a9bc357f0,1.0,4
1,1,307,307,2,1,2,0,2,2,2,1,2,1,1,0,0,aaf4a1439,1.0,3
1,2,141,128,1,1,2,7,1,1,1,3,2,1,1,0,0,1e62e6022,5.0,1
1,2,307,0,1,1,2,0,1,1,1,1,2,1,1,0,0,4e797dcdd,3.0,4
1,1,173,96,3,1,2,7,2,2,2,2,2,1,9,100,0,45d2ddcb8,5.0,2
1,2,307,0,2,2,5,0,2,1,2,1,2,1,1,0,0,259b10a3e,1.0,0
1,2,307,0,2,1,0,0,3,1,1,1,2,1,2,0,1,d2490c888,3.0,4
